"PlantID" "Year" "Electricity" "SO2" "NOX" "CapStock" "Employees" "HC_Coal" "HC_Oil" "HC_Gas" "Phase1"
"408" 2527 1989 3.01024520547945 48.6033150684931 11.4814520547945 495530827.18728 88 9297.11308523836 37.5591285616438 0 0
"409" 2535 1989 6.0675204109589 76.0043287671233 17.6178630136986 511656649.803768 86 16756.235176389 14.0184460549479 0 0
"410" 2549 1989 14.0641753424658 172.837479452055 63.2356164383562 2084062430.5428 303 42290.9887663397 0 0 0
"411" 2554 1989 10.6276273972603 160.125589041096 30.127397260274 1196092513.02144 208 30495.4385148164 0 0 0
"412" 2642 1989 4.3124904109589 66.6975342465753 12.9050136986301 515229865.760544 146 13251.7476352767 30.715020690411 0 0
"413" 2706 1989 6.53585205479452 56.7581369863014 26.5768219178082 404139510.308976 76 18813.8128424877 37.6625304022685 0 0
"414" 2718 1989 5.83889863013699 42.3264109589041 17.8144109589041 1181548719.94248 158 17366.6643362301 129.737286506071 0 0
"415" 2721 1989 5.13351780821918 37.8811232876712 15.5766575342466 867431739.68856 140 15229.8442356164 39.1574022667397 0 0
"416" 2727 1989 25.7343150684931 173.310520547945 70.5709863013699 1655449078.54728 186 69184.3095316767 128.615544139216 0 0
"417" 2790 1989 1.29081808219178 9.15827397260274 2.49827397260274 211395678.292224 51 4944.07371726575 0 0.252923424657534 0
"418" 2850 1989 44.154797260274 497.55095890411 207.525506849315 2701899901.72656 540 127698.571628104 68.6246168108219 0 0
"419" 2864 1989 7.25183068493151 202.853287671233 39.0534246575342 1174645165.482 273 24408.6039320548 16.6813857407342 0 0
"420" 2872 1989 24.096298630137 848.187123287671 143.091424657534 2079730370.02536 378 67964.5722649644 196.307274818219 0 0
"421" 2876 1989 21.488298630137 631.967287671233 136.409726027397 1627000713.258 336 61852.8451996274 18.3453790684932 0 0
"422" 3098 1989 6.01917780821918 14.3461095890411 31.1608493150685 1229483279.13408 229 20100.6507740548 67.6013156131562 0 0
"423" 3130 1989 3.53178904109589 47.6005479452055 13.8347123287671 606579167.43264 96 11646.3037518247 146.579089771973 0 0
"424" 3131 1989 10.7947890410959 163.23202739726 39.9341917808219 1102475397.69912 135 31513.5264387945 270.735978378082 0 0
"425" 3138 1989 5.01001643835616 71.5294246575342 25.8006849315069 781912861.602 168 16826.2917532932 52.0635484293534 0 0
"426" 3140 1989 26.3237205479452 356.661616438356 78.0813424657534 1671228041.96208 215 75572.1877060603 282.408880039003 0 0
"427" 3149 1989 27.2813561643836 344.904465753425 77.6541917808219 1659869659.21992 195 75215.9461062411 206.83489537223 0 0
"428" 3178 1989 6.33135342465753 92.311397260274 28.2438904109589 506510026.982232 82 18579.2028402247 18.6826103013699 0 0
"429" 3297 1989 9.94764657534247 82.4458904109589 43.9850684931507 730209717.984 93 30042.9883771562 122.6809893708 0 0
"430" 3497 1989 19.3816383561644 168.174794520548 55.4324109589041 1025661951.97416 233 61975.2646335781 0 860.252787123288 0
"431" 3644 1989 3.07699726027397 15.6018630136986 10.766602739726 318816651.995736 97 10086.4589909918 12.3628969972603 0 0
"432" 3775 1989 11.1904164383562 61.2773150684932 45.8910410958904 916331714.2404 180 30938.7615694521 25.4272754266521 0 0
"433" 3776 1989 4.02533698630137 24.3630684931507 16.0362739726027 735072907.60224 133 11719.9120159562 107.46117391029 0 0
"434" 3788 1989 7.27223561643836 45.5505479452055 22.445698630137 1048111903.85352 210 22493.0059143452 149.780122357562 0 0
"435" 3796 1989 3.59463835616438 27.2702739726027 15.6229589041096 533473081.119768 143 10549.3920418192 30.6880421917808 0 0
"436" 3936 1989 3.97046575342466 24.2784109589041 17.5793698630137 759392432.68656 147 11652.1796045918 32.1939077944438 0 0
"437" 3945 1989 1.65408219178082 14.4569863013699 9.33854794520548 435138392.516232 83 6085.28942136986 17.5933534191781 0 0
